"provinsi","kabupaten","kecamatan","kelurahan","no_tps","suara_1","suara_2","suara_3","golput"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KALIMATI","5","109","365","88","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KALIMATI","6","591","141","66","5"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KALIMATI","7","67","128","20","5"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","GEMPOLKLUTUK","1","11","563","50","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","GEMPOLKLUTUK","2","218","66","2","3"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","GEMPOLKLUTUK","3","115","56","12","8"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","GEMPOLKLUTUK","4","324","424","2","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","GEMPOLKLUTUK","5","197","268","53","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","GEMPOLKLUTUK","6","584","372","53","6"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","BANJARWUNGU","1","47","23","13","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","BANJARWUNGU","2","104","57","57","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","BANJARWUNGU","3","171","320","123","4"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","BANJARWUNGU","4","665","72","8","14"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","BANJARWUNGU","5","56","240","350","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","BANJARWUNGU","6","2","140","155","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","BANJARWUNGU","7","161","508","59","3"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","BALONGMACEKAN","1","114","24","76","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","BALONGMACEKAN","2","126","15","286","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","BALONGMACEKAN","3","235","84","45","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","BALONGMACEKAN","4","172","76","39","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","BALONGMACEKAN","5","132","2","577","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","GAMPINGROWO","1","121","407","37","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","GAMPINGROWO","2","6","188","58","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","GAMPINGROWO","3","50","222","86","5"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","GAMPINGROWO","4","30","364","5","4"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","GAMPINGROWO","5","66","478","172","4"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","GAMPINGROWO","6","63","135","5","4"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","GAMPINGROWO","7","123","55","8","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","SEBANI","1","149","2","139","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","SEBANI","2","14","1","32","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","SEBANI","3","34","230","32","3"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","SEBANI","4","180","266","35","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","SEBANI","5","30","220","24","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KRAMATTEMENGGUNG","1","186","55","14","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KRAMATTEMENGGUNG","2","488","30","7","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KRAMATTEMENGGUNG","3","536","171","158","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KRAMATTEMENGGUNG","4","216","98","11","4"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KRAMATTEMENGGUNG","5","191","237","250","4"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KRAMATTEMENGGUNG","6","6","261","155","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KRAMATTEMENGGUNG","7","200","86","94","3"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MINDUGADING","1","1","143","247","6"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MINDUGADING","2","109","187","133","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MINDUGADING","3","129","323","130","6"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MINDUGADING","4","46","53","80","5"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MINDUGADING","5","184","396","5","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KEMUNING","1","75","157","21","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KEMUNING","2","18","65","257","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KEMUNING","3","389","304","316","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KEMUNING","4","81","67","120","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KEMUNING","5","119","44","107","4"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","JANTI","1","99","200","209","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","JANTI","2","144","710","47","3"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","JANTI","3","209","145","228","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","JANTI","4","162","122","65","6"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","JANTI","5","11","39","93","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TULANGAN","JANTI","1","99","200","209","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TULANGAN","JANTI","2","144","710","47","3"
"PROVINSI JAWA TIMUR","SIDOARJO","TULANGAN","JANTI","3","209","145","228","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TULANGAN","JANTI","4","162","122","65","6"
"PROVINSI JAWA TIMUR","SIDOARJO","TULANGAN","JANTI","5","11","39","93","1"
"PROVINSI JAWA TIMUR","SIDOARJO","WARU","JANTI","1","99","200","209","0"
"PROVINSI JAWA TIMUR","SIDOARJO","WARU","JANTI","2","144","710","47","3"
"PROVINSI JAWA TIMUR","SIDOARJO","WARU","JANTI","3","209","145","228","0"
"PROVINSI JAWA TIMUR","SIDOARJO","WARU","JANTI","4","162","122","65","6"
"PROVINSI JAWA TIMUR","SIDOARJO","WARU","JANTI","5","11","39","93","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","SEGODOBANCANG","1","332","68","790","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","SEGODOBANCANG","2","2","49","91","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","SEGODOBANCANG","3","257","49","8","4"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","SEGODOBANCANG","4","95","60","55","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","SEGODOBANCANG","5","250","128","220","7"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","SEGODOBANCANG","6","84","170","72","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","SEGODOBANCANG","7","109","2","101","6"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KEDINDING","1","46","299","8","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KEDINDING","2","17","197","77","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KEDINDING","3","74","5","20","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KEDINDING","4","51","22","36","3"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KEDINDING","5","26","77","59","3"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","PRAMBON","1","504","169","121","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","PRAMBON","2","92","247","68","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","PRAMBON","3","99","76","94","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","PRAMBON","4","161","579","225","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KAJARTENGGULI","1","336","233","256","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KAJARTENGGULI","2","18","29","90","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KAJARTENGGULI","3","15","118","26","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KAJARTENGGULI","4","36","82","193","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KAJARTENGGULI","5","40","153","16","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KAJARTENGGULI","6","38","115","34","4"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KAJARTENGGULI","7","48","183","24","3"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","GEDANGROWO","1","90","70","108","8"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","GEDANGROWO","2","294","929","8","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","GEDANGROWO","3","249","426","62","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","GEDANGROWO","4","51","69","64","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","WIROBITING","1","72","143","292","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","WIROBITING","2","42","39","337","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","WIROBITING","3","62","76","115","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","WIROBITING","4","633","146","320","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","WIROBITING","5","214","340","372","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","WIROBITING","6","12","34","120","8"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","WIROBITING","7","457","59","0","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","SIMPANG","1","62","36","85","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","SIMPANG","2","312","13","8","3"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","SIMPANG","3","22","6","37","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","SIMPANG","4","50","261","103","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","BULANG","1","233","319","6","6"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","BULANG","2","605","98","35","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","BULANG","3","105","73","69","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","BULANG","4","31","331","120","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","BULANG","5","11","59","3","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","BULANG","6","594","517","234","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","GAMPANG","1","19","336","61","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","GAMPANG","2","42","483","352","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","GAMPANG","3","121","58","145","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","GAMPANG","4","3","55","209","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","GAMPANG","5","61","282","10","3"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","GAMPANG","6","276","201","23","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","JATIKALANG","1","271","14","326","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","JATIKALANG","2","55","48","362","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","JATIKALANG","3","184","81","51","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","JATIKALANG","4","21","143","171","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","JATIKALANG","5","58","715","26","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","JATIKALANG","6","451","69","359","7"
"PROVINSI JAWA TIMUR","SIDOARJO","KRIAN","JATIKALANG","1","271","14","326","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KRIAN","JATIKALANG","2","55","48","362","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KRIAN","JATIKALANG","3","184","81","51","0"
"PROVINSI JAWA TIMUR","SIDOARJO","KRIAN","JATIKALANG","4","21","143","171","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KRIAN","JATIKALANG","5","58","715","26","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KRIAN","JATIKALANG","6","451","69","359","7"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","JATIALUN-ALUN","1","50","70","129","4"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","JATIALUN-ALUN","2","352","156","25","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","JATIALUN-ALUN","3","67","15","96","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","JATIALUN-ALUN","4","69","85","72","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","JATIALUN-ALUN","5","54","200","93","11"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","JATIALUN-ALUN","6","500","96","47","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","PEJANGKUNGAN","1","765","419","348","3"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","PEJANGKUNGAN","2","116","133","283","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","PEJANGKUNGAN","3","157","357","17","5"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","PEJANGKUNGAN","4","38","56","115","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","PEJANGKUNGAN","5","524","103","12","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","PEJANGKUNGAN","6","368","531","6","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KEDUNGSUGO","1","509","288","82","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KEDUNGSUGO","2","148","58","17","3"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KEDUNGSUGO","3","78","333","114","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KEDUNGSUGO","4","76","112","102","3"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KEDUNGSUGO","5","109","449","26","7"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KEDUNGWONOKERTO","1","45","104","31","4"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KEDUNGWONOKERTO","2","577","255","55","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KEDUNGWONOKERTO","3","261","639","228","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KEDUNGWONOKERTO","4","200","109","0","5"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","BENDOTRETEK","1","242","247","197","4"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","BENDOTRETEK","2","2","65","174","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","BENDOTRETEK","3","247","171","72","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","BENDOTRETEK","4","25","234","6","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","BENDOTRETEK","5","75","81","14","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","BENDOTRETEK","6","223","190","68","5"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","WONOPLINTAHAN","1","198","332","211","4"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","WONOPLINTAHAN","2","238","14","9","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","WONOPLINTAHAN","3","206","8","99","3"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","WONOPLINTAHAN","4","13","156","198","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KEDUNGKEMBAR","1","539","228","47","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KEDUNGKEMBAR","2","65","341","17","3"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KEDUNGKEMBAR","3","183","486","373","10"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KEDUNGKEMBAR","4","610","202","36","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KEDUNGKEMBAR","5","148","292","11","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","KEDUNGKEMBAR","6","238","255","27","4"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","JEDONGCANGKRING","1","178","52","29","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","JEDONGCANGKRING","2","463","18","19","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","JEDONGCANGKRING","3","973","227","104","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","JEDONGCANGKRING","4","513","230","177","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","JEDONGCANGKRING","5","21","99","292","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","CANGKRINGTURI","1","17","160","37","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","CANGKRINGTURI","2","89","22","30","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","CANGKRINGTURI","3","2","105","60","4"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","CANGKRINGTURI","4","240","145","51","5"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","CANGKRINGTURI","5","18","101","1","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","SIMOGIRANG","1","837","135","93","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","SIMOGIRANG","2","248","115","183","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","SIMOGIRANG","3","38","35","34","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","SIMOGIRANG","4","170","233","16","3"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","SIMOGIRANG","5","261","42","103","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","TEMU","1","300","215","150","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","TEMU","2","683","268","13","3"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","TEMU","3","8","73","113","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","TEMU","4","114","162","36","3"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","TEMU","5","88","17","65","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","TEMU","6","434","86","64","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","WATUTULIS","1","65","50","110","4"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","WATUTULIS","2","253","322","31","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","WATUTULIS","3","124","13","14","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","WATUTULIS","4","183","475","21","6"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","WATUTULIS","5","32","214","12","4"
"PROVINSI JAWA TIMUR","SIDOARJO","PRAMBON","WATUTULIS","6","169","79","118","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","TAMBAKREJO","1","439","113","69","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","TAMBAKREJO","2","23","286","36","5"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","TAMBAKREJO","3","5","196","38","5"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","TAMBAKREJO","4","99","48","98","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","TAMBAKREJO","5","94","260","33","3"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","TAMBAKREJO","6","745","22","111","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","TAMBAKREJO","7","168","795","8","1"
"PROVINSI JAWA TIMUR","SIDOARJO","WARU","TAMBAKREJO","1","439","113","69","2"
"PROVINSI JAWA TIMUR","SIDOARJO","WARU","TAMBAKREJO","2","23","286","36","5"
"PROVINSI JAWA TIMUR","SIDOARJO","WARU","TAMBAKREJO","3","5","196","38","5"
"PROVINSI JAWA TIMUR","SIDOARJO","WARU","TAMBAKREJO","4","99","48","98","1"
"PROVINSI JAWA TIMUR","SIDOARJO","WARU","TAMBAKREJO","5","94","260","33","3"
"PROVINSI JAWA TIMUR","SIDOARJO","WARU","TAMBAKREJO","6","745","22","111","1"
"PROVINSI JAWA TIMUR","SIDOARJO","WARU","TAMBAKREJO","7","168","795","8","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KEPER","1","21","31","625","3"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KEPER","2","378","432","41","0"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KEPER","3","153","423","173","0"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KEPER","4","298","175","80","0"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KEDUNGSUMUR","1","266","146","224","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KEDUNGSUMUR","2","222","215","66","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KEDUNGSUMUR","3","134","37","138","0"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KEDUNGSUMUR","4","47","12","59","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KEDUNGRAWAN","1","27","162","470","0"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KEDUNGRAWAN","2","206","24","64","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KEDUNGRAWAN","3","306","51","184","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KEDUNGRAWAN","4","83","892","47","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KEDUNGRAWAN","5","148","27","57","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KEDUNGRAWAN","6","71","527","103","0"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","TANJEKWAGIR","1","616","59","59","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","TANJEKWAGIR","2","373","421","4","0"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","TANJEKWAGIR","3","36","7","32","12"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","TANJEKWAGIR","4","122","144","33","4"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","TANJEKWAGIR","5","255","74","306","0"
